Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
EIF2 Signaling	2.76E+01	3.19E-01	-4.95	"AGO2,EIF1,EIF3A,EIF3G,EIF3K,EIF4A1,EIF4G2,FAU,MAP2K2,PPP1CB,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL18,RPL18A,RPL19,RPL23A,RPL24,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL32,RPL35,RPL36,RPL36AL,RPL39,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS12,RPS13,RPS14,RPS15,RPS16,RPS18,RPS19,RPS2,RPS23,RPS25,RPS3,RPS4X,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,UBA52"
Regulation of eIF4 and p70S6K Signaling	1.01E+01	2.26E-01	NaN	"AGO2,EIF1,EIF3A,EIF3G,EIF3K,EIF4A1,EIF4G2,FAU,ITGAV,ITGB1,MAP2K2,PPP2R5E,RPS12,RPS13,RPS14,RPS15,RPS16,RPS18,RPS19,RPS2,RPS23,RPS25,RPS3,RPS4X,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA"
mTOR Signaling	7.65E+00	1.89E-01	NaN	"EIF3A,EIF3G,EIF3K,EIF4A1,EIF4G2,FAU,HIF1A,PPP2R5E,PRKD3,RHOC,RPS12,RPS13,RPS14,RPS15,RPS16,RPS18,RPS19,RPS2,RPS23,RPS25,RPS3,RPS4X,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA"
Oxidative Phosphorylation	5.83E+00	2.02E-01	-3.9	"ATP5F1D,ATP5MC1,ATP5MF,ATP5MG,COX4I1,COX5A,COX5B,COX6B1,COX8A,CYC1,MT-ND3,NDUFA12,NDUFA4,NDUFAB1,NDUFB10,NDUFB11,NDUFB7,NDUFS5,NDUFV2"
Coronavirus Pathogenesis Pathway	5.82E+00	1.71E-01	3.674	"FAU,HDAC2,HIF1A,KPNB1,MAP2K4,RPS12,RPS13,RPS14,RPS15,RPS16,RPS18,RPS19,RPS2,RPS23,RPS25,RPS3,RPS4X,RPS4Y1,RPS5,RPS7,RPS8,RPS9,RPSA,TNPO1"
Granzyme A Signaling	5.30E+00	2.37E-01	1.069	"FN1,H1-2,MT-ND3,MT-ND6,NDUFA12,NDUFA4,NDUFAB1,NDUFB10,NDUFB11,NDUFB7,NDUFS5,NDUFV2,NME1,SET"
Estrogen Receptor Signaling	5.24E+00	1.32E-01	0	"ATP5F1D,ATP5MC1,CYC1,DDX5,FOXO3,GNAQ,GNB2,GNG5,HIF1A,HSP90B1,MAP2K2,MED13,MED13L,MT-ND3,MT-ND6,MYL6,NCOR1,NDUFA12,NDUFA4,NDUFAB1,NDUFB10,NDUFB11,NDUFB7,NDUFS5,NDUFV2,NRIP1,PPP1CB,PPP1R12A,PRKAR1A,PRKD3,PRKDC,ROCK2,RUNX2,TBL1XR1"
Mitochondrial Dysfunction	4.83E+00	1.34E-01	4.017	"ATP5F1D,ATP5MC1,ATP5MF,ATP5MG,CAMK2D,COX4I1,COX5A,COX5B,COX6B1,COX8A,CYC1,FIS1,GPX1,GPX4,GSTP1,HSD17B10,MAP2K4,MGST3,MT-ND3,MT-ND6,NDUFA12,NDUFA4,NDUFAB1,NDUFB10,NDUFB11,NDUFB7,NDUFS5,NDUFV2,PARK7,PRKAR1A"
Huntington's Disease Signaling	4.00E+00	1.29E-01	-0.707	"ATP5F1D,ATP5MC1,CLTA,CLTC,GNAQ,GNB2,GNG5,HDAC2,MAP2K4,NCOR1,POLR2E,POLR2J,PRKD3,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMC5,PSMD4,PSMD8,PSME2,UBA52,UBB,UBC,UBE2S"
Neutrophil Extracellular Trap Signaling Pathway	3.83E+00	1.31E-01	-2.449	"ATP5F1D,ATP5MC1,COL1A2,COL3A1,COL5A2,CYC1,HIF1A,ITGB1,MAP2K2,MAP2K4,MT-ND3,MT-ND6,NDUFA12,NDUFA4,NDUFAB1,NDUFB10,NDUFB11,NDUFB7,NDUFS5,NDUFV2,PRKD3,SLC25A6,TIMM13,TSPO"
