Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
ABRA Signaling Pathway	7.51E+00	7.69E-02	-2	"EGR1,FOS,FOSB,VEGFA"
Corticotropin Releasing Hormone Signaling	5.00E+00	4.84E-02	NaN	"FOS,NR4A1,VEGFA"
Role Of Chondrocytes In Rheumatoid Arthritis Signaling Pathway	4.92E+00	4.55E-02	NaN	"EGR1,FOS,VEGFA"
Role of Tissue Factor in Cancer	4.09E+00	2.40E-02	NaN	"EGR1,FOS,VEGFA"
Role of JAK2 in Hormone-like Cytokine Signaling	3.83E+00	8.00E-02	NaN	"FOS,VEGFA"
VEGF Family Ligand-Receptor Interactions	3.38E+00	4.76E-02	NaN	"FOS,VEGFA"
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.36E+00	4.65E-02	NaN	"FOS,VEGFA"
Renal Cell Carcinoma Signaling	3.05E+00	3.28E-02	NaN	"FOS,VEGFA"
IL-17 Signaling	3.01E+00	3.12E-02	NaN	"FOS,VEGFA"
CDK5 Signaling	2.93E+00	2.86E-02	NaN	"EGR1,FOSB"
Relaxin Signaling	2.90E+00	2.74E-02	NaN	"FOS,VEGFA"
T Cell Exhaustion Signaling Pathway	2.84E+00	2.56E-02	NaN	"FOS,VEGFA"
IL-6 Signaling	2.83E+00	2.53E-02	NaN	"FOS,VEGFA"
Macrophage Alternative Activation Signaling Pathway	2.82E+00	2.50E-02	NaN	"FOS,KDM6B"
Tumor Microenvironment Pathway	2.82E+00	2.50E-02	NaN	"FOS,VEGFA"
Pathogen Induced Cytokine Storm Signaling Pathway	2.74E+00	2.27E-02	NaN	"FOS,VEGFA"
MSP-RON Signaling In Cancer Cells Pathway	2.72E+00	2.22E-02	NaN	"FOS,VEGFA"
CXCR4 Signaling	2.65E+00	2.06E-02	NaN	"EGR1,FOS"
Wound Healing Signaling Pathway	2.64E+00	2.02E-02	NaN	"FOS,VEGFA"
Activin Inhibin Signaling Pathway	2.58E+00	1.90E-02	NaN	"FOS,FOSB"
GNRH Signaling	2.58E+00	1.90E-02	NaN	"EGR1,FOS"
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	2.55E+00	1.82E-02	NaN	"EGR1,FOS"
IL-8 Signaling	2.51E+00	1.74E-02	NaN	"FOS,VEGFA"
ID1 Signaling Pathway	2.47E+00	1.67E-02	NaN	"EGR1,VEGFA"
ILK Signaling	2.44E+00	1.61E-02	NaN	"FOS,VEGFA"
Ribonucleotide Reductase Signaling Pathway	2.44E+00	1.60E-02	NaN	"FOS,VEGFA"
Opioid Signaling Pathway	2.36E+00	1.46E-02	NaN	"FOS,FOSB"
Colorectal Cancer Metastasis Signaling	2.29E+00	1.35E-02	NaN	"FOS,VEGFA"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	2.25E+00	1.29E-02	NaN	"FOS,VEGFA"
Autophagy	2.24E+00	1.27E-02	NaN	"FOS,VEGFA"
