Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
EIF2 Signaling	2.85E+01	3.10E-01	4.352	"ACTA2,AGO2,ATF3,EIF1,EIF1AX,EIF3A,EIF3G,EIF4A1,EIF4G2,EIF5B,FAU,MAP2K2,PPP1CB,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL18,RPL18A,RPL19,RPL23A,RPL24,RPL26,RPL27,RPL28,RPL29,RPL3,RPL32,RPL35,RPL35A,RPL36,RPL36AL,RPL39,RPL7,RPL7A,RPL8,RPLP0,RPLP1,RPS10,RPS12,RPS14,RPS15,RPS16,RPS18,RPS19,RPS2,RPS23,RPS25,RPS3,RPS4X,RPS5,RPS7,RPS9,VEGFA"
Regulation of eIF4 and p70S6K Signaling	8.23E+00	1.93E-01	NaN	"AGO2,EIF1,EIF1AX,EIF3A,EIF3G,EIF4A1,EIF4G2,FAU,ITGAV,ITGB1,MAP2K2,PPP2R5E,RPS10,RPS12,RPS14,RPS15,RPS16,RPS18,RPS19,RPS2,RPS23,RPS25,RPS3,RPS4X,RPS5,RPS7,RPS9"
mTOR Signaling	7.19E+00	1.73E-01	NaN	"CDC42,DDIT4,EIF3A,EIF3G,EIF4A1,EIF4G2,FAU,HIF1A,PPP2R5E,PRKD3,RND3,RPS10,RPS12,RPS14,RPS15,RPS16,RPS18,RPS19,RPS2,RPS23,RPS25,RPS3,RPS4X,RPS5,RPS7,RPS9,VEGFA"
Glycolysis I	7.15E+00	6.15E-01	2.828	"ALDOA,ENO1,ENO2,GAPDH,PGAM1,PGK1,PKM,TPI1"
Coronavirus Pathogenesis Pathway	5.10E+00	1.54E-01	-3.411	"FAU,HIF1A,JUN,KPNB1,MAP2K4,NFKBIA,RPS10,RPS12,RPS14,RPS15,RPS16,RPS18,RPS19,RPS2,RPS23,RPS25,RPS3,RPS4X,RPS5,RPS7,RPS9,TNPO1"
Gluconeogenesis I	4.77E+00	5.00E-01	2.449	"ALDOA,ENO1,ENO2,GAPDH,PGAM1,PGK1"
Estrogen Receptor Signaling	4.61E+00	1.18E-01	0	"ATP5F1D,CYC1,DDX5,FOXO3,GNAQ,GNAS,GNB2,HIF1A,HSP90AA1,JUN,MAP2K2,MDK,MED13,MED13L,MT-ND1,MT-ND2,MT-ND3,NCOA2,NCOR1,NDUFB11,NDUFB7,NDUFS5,NRIP1,PPP1CB,PPP1R12A,PRKAR1A,PRKD3,PRKDC,ROCK2,RUNX2,TBL1XR1,VEGFA"
ILK Signaling	3.80E+00	1.42E-01	-0.258	"ACTA2,ACTG1,BMP2,CDC42,CTNNB1,FLNA,FN1,HIF1A,ITGB1,JUN,MAP2K4,NACA,PPP1R12A,PPP1R14B,PPP2R5E,RND3,TMSB10/TMSB4X,VEGFA"
Caveolar-mediated Endocytosis Signaling	3.70E+00	2.08E-01	NaN	"ACTA2,ACTG1,COPB1,COPE,FLNA,HLA-A,HLA-C,ITGAV,ITGB1,MAP3K2"
Protein Ubiquitination Pathway	3.70E+00	1.16E-01	NaN	"ANAPC11,BIRC6,DNAJB1,DNAJB14,ELOB,HLA-A,HLA-C,HSP90AA1,HSPH1,PSMA4,PSMB3,PSMB6,PSMC5,PSMD3,PSMD8,SACS,UBB,UBC,UBE2D3,UBE2K,UBE2S,UBE3A,UBR2,USP34,USP49,USP9X"
Leukocyte Extravasation Signaling	3.48E+00	1.63E-01	-0.577	"ACTA2,ACTG1,ARHGAP5,CD99,CDC42,CTNNB1,EDIL3,ITGB1,MAP2K2,MAP2K4,PRKD3,ROCK2,TIMP1"
ABRA Signaling Pathway	3.33E+00	1.89E-01	-0.632	"ACTA2,ACTG1,EGR1,ITGB1,JUNB,MAP2K4,MEF2C,ROCK2,TPM2,VEGFA"
Gap Junction Signaling	3.30E+00	1.43E-01	NaN	"ACTA2,ACTG1,CSNK1A1,CTNNB1,GJA1,GNAQ,GNAS,MAP2K2,MAP3K2,PRKAR1A,PRKD3,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
Hypoxia Signaling in the Cardiovascular System	3.07E+00	1.64E-01	0.447	"BIRC6,HIF1A,HSP90AA1,JUN,LDHA,NFKBIA,P4HB,UBE2D3,UBE2K,UBE2S,VEGFA"
Sertoli Cell-Sertoli Cell Junction Signaling	3.04E+00	1.35E-01	NaN	"ACTA2,ACTG1,CDC42,CTNNB1,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4,MAP3K2,PRKAR1A,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
Sirtuin Signaling Pathway	2.98E+00	1.07E-01	0	"ACLY,ATP5F1D,CYC1,FOXO3,HIF1A,JUN,LDHA,MT-ND1,MT-ND2,MT-ND3,NDRG1,NDUFB11,NDUFB7,NDUFS5,PGAM1,PGK1,PRKDC,SLC25A6,SMARCA5,TIMM13,TSPO,TUBA1A,TUBA1B,TUBA1C"
Signaling by Rho Family GTPases	2.96E+00	1.18E-01	-1	"ACTA2,ACTG1,ACTR2,CDC42,CDH11,CDH2,GNAQ,GNAS,GNB2,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4,PPP1R12A,RND3,ROCK2,SEPTIN11,SEPTIN7"
Remodeling of Epithelial Adherens Junctions	2.89E+00	1.80E-01	NaN	"ACTA2,ACTG1,ACTR2,CTNNB1,NME1,TUBA1A,TUBA1B,TUBA1C,TUBB4B"
BEX2 Signaling Pathway	2.89E+00	1.67E-01	0.632	"CDH2,CTNNB1,HIF1A,JUN,LGALS1,MAP2K4,NFKBIA,PPP2R5E,TCF4,VEGFA"
Hepatic Fibrosis Signaling Pathway	2.87E+00	1.05E-01	-0.853	"ACTA2,CCDC88A,CDC42,COL1A2,COL3A1,CSNK1A1,CTNNB1,FTH1,FTL,HIF1A,ITGAV,ITGB1,JUN,MAP2K2,MAP2K4,NFKBIA,PRKAR1A,PRKD3,RND3,ROCK2,TCF4,TIMP1,TNFRSF11B,VEGFA"
